arr_rate,profit_P,num_of_days,num_of_sims,p,S_R1,s_R1,S_R2,s_R2,S_D1,s_D1,S_D2,s_D2,frac_cust_ret,avg_profit,avg_hold_c,avg_del_c,timed_avg_inv,avg_net_profit,R1_avg_profit,R1_avg_hold_c,R1_avg_del_c,R1_timed_avg_inv,R1_throughput,R1_frac_cust_ret,R1_avg_net_profit,R2_avg_profit,R2_avg_hold_c,R2_avg_del_c,R2_timed_avg_inv,R2_throughput,R2_frac_cust_ret,R2_avg_net_profit,D1_avg_profit,D1_avg_hold_c,D1_avg_del_c,D1_timed_avg_inv,D1_throughput,D1_frac_cust_ret,D1_avg_net_profit,D2_avg_profit,D2_avg_hold_c,D2_avg_del_c,D2_timed_avg_inv,D2_throughput,D2_frac_cust_ret,D2_avg_net_profit
20,100,30,50,"(0.5, 0.5)",300,100,300,100,600,350,600,350,21.29177975,7691.498,2857.1806,1937.11,157.7862593,2897.2074,3887.572,1182.9084,875.14,98.53059627,38.87572,0.209042866,1829.5236,3803.926,1163.5102,969.44,97.0047699,38.03926,0.226411832,1670.9758,0,262.6762,48.41,223.3377446,40.00894,0,-311.0862,0,248.0858,44.12,212.2719264,36.63568,0,-292.2058
20,100,30,50,"(0.5, 0.5)",300,100,300,150,600,350,600,350,17.6557406,8075.106,2837.2645,2286.31,139.6365647,2951.5315,3810.136,1179.148,836.48,98.57573905,38.10136,0.225036075,1794.508,4264.97,1219.3782,1349.73,100.4001047,42.6497,0.137564301,1695.8618,0,236.10002,52.08,195.1161277,41.67302,0,-288.18002,0,202.63828,48.02,164.4542873,38.8366,0,-250.65828
20,100,30,50,"(0.5, 0.5)",300,100,300,200,600,350,600,350,15.4587679,8304.5,2903.41732,2784.05,126.7222887,2617.03268,3769.2,1190.8442,802.18,99.99966109,37.692,0.234056948,1776.1758,4535.3,1335.0554,1871.06,110.8049307,45.353,0.085002173,1329.1846,0,206.48112,57.45,163.2985804,43.84338,0,-263.93112,0,171.0366,53.36,132.7859826,38.97796,0,-224.3966
20,100,30,50,"(0.5, 0.5)",300,100,300,250,600,350,600,350,14.91246464,8372.684,2958.358,3121.08,123.7119598,2293.246,3767.912,1199.0622,791.72,100.8763721,37.67912,0.233986085,1777.1298,4604.772,1400.249,2216.74,117.001152,46.04772,0.075131554,987.783,0,202.98866,58.04,159.5311284,44.10894,0,-261.02866,0,156.05814,54.58,117.4391866,39.38088,0,-210.63814
20,100,30,50,"(0.5, 0.5)",300,100,350,100,600,350,600,350,20.57194832,7769.302,3037.98768,1781.19,149.6827438,2950.12432,3902.62,1189.9126,875.12,99.17327298,39.0262,0.205622637,1837.5874,3866.682,1392.2574,802.86,119.7636875,38.66682,0.214882768,1671.5646,0,238.64198,52.99,197.9595271,41.3304,0,-291.63198,0,217.1757,50.22,181.8344875,36.0751,0,-267.3957
20,100,30,50,"(0.5, 0.5)",300,100,350,150,600,350,600,350,17.88505187,8065.2,3109.22322,1963.95,157.0421552,2992.02678,3831.966,1181.0348,838.98,98.67768055,38.31966,0.222113265,1811.9512,4233.234,1442.8136,1027.37,123.0692094,42.33234,0.144802146,1763.0504,0,249.4086,51.06,207.9537484,42.11236,0,-300.4686,0,235.96622,46.54,198.4679823,38.2274,0,-282.50622
20,100,30,50,"(0.5, 0.5)",300,100,350,200,600,350,600,350,15.30047221,8340.152,3177.53362,2334.31,142.6277381,2828.30838,3770.962,1176.15,820.76,98.5319116,37.70962,0.234309107,1774.052,4569.19,1583.272,1409.95,135.5847755,45.6919,0.080556142,1575.968,0,223.38198,53.91,180.8985305,43.19978,0,-277.29198,0,194.72964,49.69,155.4957346,39.95124,0,-244.41964
20,100,30,50,"(0.5, 0.5)",300,100,350,250,600,350,600,350,14.25623491,8443.688,3291.33436,2766.96,135.1462018,2385.39364,3745.45,1186.4568,798.1,99.69790966,37.4545,0.237718811,1760.8932,4698.238,1730.8246,1858.01,149.764471,46.98238,0.057021452,1109.4034,0,208.0716,56.97,164.8139247,43.92294,0,-265.0416,0,165.98136,53.88,126.3085018,40.29362,0,-219.86136
20,100,30,50,"(0.5, 0.5)",300,100,400,100,600,350,600,350,19.39719661,7902.09,3329.26578,1674.83,168.2077646,2897.99422,3936.872,1188.3962,887.62,98.8837208,39.36872,0.198755274,1860.8558,3965.218,1632.952,690.84,143.4400422,39.65218,0.197432294,1641.426,0,253.71384,50.55,213.1266806,41.28296,0,-304.26384,0,254.20374,45.82,217.380615,37.41054,0,-300.02374
20,100,30,50,"(0.5, 0.5)",300,100,400,150,600,350,600,350,19.18001177,7940.584,3234.6919,1799.89,152.8474438,2906.0021,3858.752,1182.757,864.56,98.71036186,38.58752,0.214636123,1811.435,4081.832,1601.4368,829.8,139.8618976,40.81832,0.178546013,1650.5952,0,237.02094,54.54,195.6160938,42.11916,0,-291.56094,0,213.47716,50.99,177.201422,36.98208,0,-264.46716
20,100,30,50,"(0.5, 0.5)",300,100,400,200,600,350,600,350,15.7885273,8289.11,3428.47548,2012.26,161.0925483,2848.37452,3781.32,1173.8488,831.96,98.21013025,37.8132,0.230458247,1775.5112,4507.79,1783.4182,1079.83,155.997405,45.0779,0.093888014,1644.5418,0,246.67734,52.16,204.6522066,42.87622,0,-298.83734,0,224.53114,48.31,185.5104514,39.70002,0,-272.84114
20,100,30,50,"(0.5, 0.5)",300,100,400,250,600,350,600,350,14.49246242,8423.898,3573.0456,2354.17,151.2421385,2496.6824,3715.126,1167.9184,809.78,97.97598529,37.15126,0.244569924,1737.4276,4708.772,1991.3204,1440.26,175.89862,47.08772,0.053823428,1277.1916,0,224.94244,53.42,182.5331426,42.97058,0,-278.36244,0,188.86436,50.71,148.5608061,41.03134,0,-239.57436
20,100,30,50,"(0.5, 0.5)",300,100,450,100,600,350,600,350,19.67829741,7869.602,3565.8227,1551.96,178.5752704,2751.8193,3864.704,1187.5606,850.86,99.1296835,38.64704,0.21265961,1826.2834,4004.898,1851.2,605.23,165.194698,40.04898,0.189458606,1548.468,0,265.6967,50.06,225.6081484,40.76386,0,-315.7567,0,261.3654,45.81,224.3685516,37.5864,0,-307.1754
20,100,30,50,"(0.5, 0.5)",300,100,450,150,600,350,600,350,16.7383586,8194.734,3588.79404,1696.83,169.852936,2909.10996,3909.982,1185.962,877.4,98.77896048,39.09982,0.20713353,1846.62,4284.752,1911.9528,721.15,169.9688989,42.84752,0.135124846,1651.6492,0,246.22758,51.32,204.4170045,42.57444,0,-297.54758,0,244.65166,46.96,206.2468801,39.0881,0,-291.61166
20,100,30,50,"(0.5, 0.5)",300,100,450,200,600,350,600,350,17.4675333,8115.16,3551.91338,1817.29,157.3590722,2745.95662,3840.988,1177.8712,861.8,98.30300525,38.40988,0.218498066,1801.3168,4274.172,1936.1988,849.55,172.609619,42.74172,0.139968573,1488.4232,0,232.77022,54.5,190.6400754,42.90742,0,-287.27022,0,205.07316,51.44,167.8835894,37.8935,0,-256.51316
20,100,30,50,"(0.5, 0.5)",300,100,450,250,600,350,600,350,14.62229047,8413.144,3822.45108,2020.04,167.4194142,2570.65292,3753.656,1173.3182,823.66,98.29969468,37.53656,0.234968451,1756.6778,4659.488,2191.5788,1094.4,196.2807375,46.59488,0.065917844,1373.5092,0,241.8628,52.62,199.2144355,43.29284,0,-294.4828,0,215.69128,49.36,175.8827892,40.53806,0,-265.05128
20,100,30,50,"(0.5, 0.5)",300,150,300,100,600,350,600,350,17.43851905,8102.386,2842.91846,2246.39,139.0590218,3013.07754,4424.436,1255.2308,1248.9,103.2465078,44.24436,0.106458845,1920.3052,3677.95,1151.8868,894.98,96.57805315,36.7795,0.251926014,1631.0832,0,214.25742,53.42,172.949024,42.04316,0,-267.67742,0,221.54344,49.09,183.4625022,38.74854,0,-270.63344
